"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","374883","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","T. D. Pennington","S. C. de Sant'Ana","184","1992","02","06","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Regiao de Mata Higrófila Sul Baiana. Quadra D","-39.22095","-14.7739696","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374883","NY00374883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","374881","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","T. D. Pennington","J. G. Jardim","1239","1998","01","15","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupa, entrada ca. 5 km W da sede do município. Fazenda Cruzeiro do Sul. Serra do Sete-paus; ca. 8 km da entrada. Area do Inventário Florestal e Fitossociológico","-39.6961","-14.735",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374881","NY00374881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","374882","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","T. D. Pennington","B. D. Sucre","8655","1972","03","12","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares, Canto Grande, Zona 2, Talha 203, Docemade","-39.961174","-19.138199","37","37","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374882","NY00374882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1921398","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,"A. F. M. Glaziou","2558",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Cosme velho à Larangeirras.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2277024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921398","NY01921398_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1921396","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,"A. F. M. Glaziou","1055",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Cosme velho à Larangeirras.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2277015' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921396","NY01921396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-08-11 00:16:44-03","UFBA","ALCB","86911","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Carneiro, CE; Santos, RCSL","Jesus, NG de; Santos, JB dos; Santana, I; Santos, IS","PL0262","1998","01","07","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Lontra/Saudade","-38.083333","-11.933333",NA,NA,NA,"13 m. tronco ereto, casca fina alva. Folhas simples, alternas, bordo liso, ápice acunheado, faces adaxial lisa e brilhante, abaxial pilosa, ferrugínea. Flores isoladas, não vistosas. Espécie rara.",NA,NA,"2017","03","24","-38.083333","-11.933333",NA,NA,NA,NA,NA,NA
"7","2020-08-11 00:16:44-03","UFBA","ALCB","48802","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Guedes, ML","Jesus, NG de","1105","2000","01","16","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Fazenda Lontra/Saudade","-40.215556","-12.915278","150","150",NA,"10,0 m x 0,30 m; casca marrom, estriada. Folhas cartáceas, discolores. Inflorescência axilar, botões esverdeados.",NA,NA,"2020","08","05","-40.215556","-12.915278",NA,NA,NA,NA,NA,NA
"8","2020-08-11 00:16:44-03","UFBA","ALCB","48803","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Carneiro, CE; Santos, RCSL","Jesus, NG de; Santos, JB dos; Silva, IS","1057","1999","12","11","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Fazenda Lontra/Saudade","-40.215556","-12.915278","150","150",NA,"tronco com casca cinza-claro; ramos novos tomentosos. Folhas tomentosas, ferrugíneas, discolores, semi-coriáceas, estípulas diminutas. Botões axilares.",NA,NA,"2017","03","24","-40.215556","-12.915278",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:19:37-03","ESALQ","ESA","115456","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense",NA,"Carnier, F.E.","Lima, D.F.","221.0","2011","04","17",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"ESA115456",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA
"10","2021-01-14 15:33:33-03","MN","R","42954","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Cronquist, A.","Glaziou, A.F.M.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,"Herb. J. de Saldanha, 5061","R000042954","R000042954_001","1946",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"11","2020-12-20 21:19:25-03","UFV","VIC","018219","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,"Ana Luiza","41","1995","10","19",NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,NA,NA,"Altura de 8 m, P41 n°41.","VIC018219","VIC018219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:19:25-03","UFV","VIC","018571","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,"Simonelli, M.; Folli, D.A.","672","1997","06","12",NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal de Linhares","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Planta de cerca de 5,5 m de altura, frutos e flores esverdeados, látex branco.","VIC018571",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA
"13","2021-03-24 17:10:01-03","UFES","SAMES","5359","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Ribeiro,M.","Ribeiro,M.; Almeida,T.R.R.","546","2011","06","05",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 5 a 6 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,NA,NA,"Com tricomas ferrugíneos de textura aveludada nos ramos, face abaxial da folha e botões (este último com cor verde claro). Fruto verde claro, com látex leitoso. Habito: Árvore","SAMES05359",NA,"2011","10","13","-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"14","2021-03-24 17:10:01-03","UFES","SAMES","5360","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Alves-Araújo,A.","Giaretta,A.O.; Figueiredo,D.D.;Lobão,A.Q.;Menezes,L.F.T.","454","2009","02","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Matal alta de tabuleiro.","-39.7322006225586","-18.5932998657227",NA,NA,NA,"Com flores albo e sépalas ferrugíneas. Habito: Árvore","SAMES05360",NA,NA,NA,NA,"-398050000.0","-182625000.0","41644","auto",NA,NA,NA,NA
"15","2019-06-27 10:26:49-03","UFES","VIES","39989","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,"Gomes, J.M.L.","3988","2012","10","14",NA,"Brasil","Espírito Santo","Presidente Kennedy","Mata de Restinga.","-41.0466995239258","-21.0988998413086",NA,NA,NA,NA,"VIES039989","VIES039989",NA,NA,NA,NA,NA,"24088","auto",NA,NA,NA,NA
"16","2019-06-27 10:26:49-03","UFES","VIES","24718","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,"Kollmann, L.; Berger, M.V.S.; Ribeiro, R.","5856","2002","12","17",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Belém, terreno de Paulo Seik (área 1).","-40.7461013793945","-20.040599822998","700","700",NA,NA,"VIES024718","VIES024718",NA,NA,NA,NA,NA,"31867","auto",NA,NA,NA,NA
"17","2019-12-06 19:30:18-03","UFES","VIES","41506","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Wandekoken, D.T.","Wandekoken, D.T.; Musso, C.","356","2018","10","11",NA,"Brasil","Espírito Santo","Vila Velha","Parque Municipal de Jacarenema. Floresta não inundável de restinga antropizada.","-40.318056","-20.398611",NA,NA,NA,NA,"VIES041506","VIES041506","2018",NA,NA,"40º19'5''W","20º23'55''S",NA,NA,NA,NA,NA,NA
"18","2020-04-27 16:11:38-03","UFES","VIES","19830","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Fabris, L.C.","Fabris, L.C.; Assis, A.M.","860","2008","05","14",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"VIES019830","VIES019830","2008","05","14",NA,NA,"28401","auto",NA,NA,NA,NA
"19","2020-04-27 16:11:38-03","UFES","VIES","13856","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Assis, A.M.","Assis, A.M.; Almeida, R.","628","1998","09","09",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"VIES013856","VIES013856","1998","09","09",NA,NA,"28401","auto",NA,NA,NA,NA
"20","2020-04-27 16:11:38-03","UFES","VIES","13854","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Fabris, L.C.","Fabris, L.C.; Monteiro, M.G.","708","1992","09","24",NA,"Brasil","Espírito Santo","Guarapari","Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"VIES013854","VIES013854","1992","09","24",NA,NA,"28401","auto",NA,NA,NA,NA
"21","2019-06-27 10:26:49-03","UFES","VIES","25466","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,"Gomes, J.M.L.; Valadares, R.T.; Pimentel, L.","3636","2010","01","23",NA,"Brasil","Espírito Santo","Presidente Kennedy","Moita de Formação Arbustiva Aberta.","-41.0466995239258","-21.0988998413086",NA,NA,NA,NA,"VIES025466","VIES025466",NA,NA,NA,NA,NA,"24088","auto",NA,NA,NA,NA
"22","2019-06-27 10:26:49-03","UFES","VIES","23923","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,"Sossai, B.G.; Freitas, J.; Souza, W.O.","85","2016","01","27",NA,"Brasil","Espírito Santo","Santa Tereza","Reserva Biológica Santa Lúcia, trilha do túmulo.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"VIES023923","VIES023923",NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA
"23","2020-04-27 16:11:38-03","UFES","VIES","13857","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Pereira, O.J.","Pereira, O.J.","6226","2000","06","28",NA,"Brasil","Espírito Santo","Vila Velha","Reserva Ecológica de Jacarenema.","-40.2924995422363","-20.3297004699707","12","12",NA,NA,"VIES013857","VIES013857","2000","06","28",NA,NA,"27156","auto",NA,NA,NA,NA
"24","2020-04-27 16:11:38-03","UFES","VIES","17370","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Gomes, J.M.L.","Gomes, J.M.L.","3158","2008","06","15",NA,"Brasil","Espírito Santo","Vitória","Camburi.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,"VIES017370","VIES017370","2008","06","15",NA,NA,"15291","auto",NA,NA,NA,NA
"25","2019-12-19 16:37:04-03","UNESP-IBB","BOTUW","1179","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,NA,NA,"BOTUW001179",NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:44:48-03","MBM","MBM","105868","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","januariense","Chrysophyllum januariense","Eichler","Pennington, T.D.","Sucre, D.","8655",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"MBM105868","MBM105868",NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA
