"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","yearIdentified","monthIdentified","minimumElevationInMeters","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1031846","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.","G. F. J. Pabst","J. Becker","282","1964","03","03","South America","Brazil","Minas Gerais","Pocos de Caldas, Morro do ferro campo no sope N. do Morro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031846","NY01031846_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:45-03","UFV","VIC","020790","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Bar.Rodr",NA,"Valente, G.E.; et al","1456","2004","03","10",NA,"Brasil","Minas Gerais","PESB Serra das 3 cabeças, Totem deitado.",NA,"Planta crescendo em solo encharcado, sobre afloramento rochoso granitoide. Flor verde.","VIC020790","VIC020790","Araponga","-42.5208015441895","-20.6667003631592","16385","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-15 21:19:14-03","MNHN","RECOLNAT_MNHN_P","P00408609","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.","Batista","Regnell, A.F.",NA,"1857","1","25",NA,"Brésil",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408609' target='other'> <mi>dwc_moreinfo</mi></a>","P00408609","P00408609_01",NA,NA,NA,NA,NA,"isotype","III 1180",NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:44:37-03","UFMG","BHCB","97478","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.",NA,"Batista, JAN; Miranda, ZJG","1517","2004","03","21","Southern America","Brasil","Distrito Federal","Taguatinga, Entre Taguatina e Brazlândia, margens da DF-240 e/ou BR-251. Faixa de cerrado entre a estrada e a Área de Proteção de manancial #?#Currais e Pedra#?#; Floresta Nacional. Alguns quilômetros após o entroncamento com a estrutural, na direção de",NA,"Pouco comum. Em extremo final de floração; sem flores boas. Flores verdes.; Em campo sujo-cerrado ralo. Latossolo vermelho- argiloso.","BHCB001612","BHCB001612",NA,NA,NA,NA,NA,NA,NA,"2004","03",NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","2825801","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb. Rodr.","G. Pabst","Howard S. Irwin","Irwin 25519","1970","1","28","South America","Brazil","Minas Gerais","Morro das Pedras. Campo on red clay, with very low, generally sparse shrubs, ca 25 km NE of Patrocínio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1050.00000000",NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2843216","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb. Rodr.",NA,"H. S. Irwin, E. Onishi, S. F. Fonsêca, R. Souza, R. G. P. Santos & J. F. Ramos","25519","1970","1","28","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"7","2020-09-12 05:00:02-03","US","US","203838","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb. Rodr.",NA,"A. F. Regnell","III 1180","1857",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type collection",NA,NA,NA,NA,"Monocotyledonae","1",NA
"8","2020-09-02 16:35:03-03","Cenargen","CEN","15027","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.","J. A. N. Batista","João Aguiar Nogueira Batista","180","1991","02","02",NA,"Brasil","DF","Área não ocupada, à esquerda do Clube do Congresso. Lado norte.","Exsicatas","Observados 12 exemplares.","CEN00015027","CEN00015027","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,"1991","02",NA,NA,"1",NA
"9","2020-09-02 16:35:03-03","Cenargen","CEN","18156","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.","J. A. N. Batista","João Aguiar Nogueira Batista","267","1992","01","26",NA,"Brasil","DF","Lago Norte. Extremidade da península. Área não ocupada a esquerda do Clube do Congresso.","Exsicatas","Observado alguns exemplares na forma de um pequeno conjuntoespalhados pelo local. Área queimada durante a seca.","CEN00018156","CEN00018156","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,NA,"1",NA
"10","2020-09-02 16:35:03-03","Cenargen","CEN","15026","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.","L. B. Bianchetti","João Aguiar Nogueira Batista","58","1989","12","17",NA,"Brasil","DF","Setor de Mansões do Lago Norte - entre a MI 10 e MI 11.","Exsicatas",NA,"CEN00015026","CEN00015026","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,"1992","03",NA,NA,"1",NA
"11","2019-07-09 12:46:58-03","F","FMNH-SEEDPLANTS","V0433410F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila",NA,"RRC ID Flag","H. S. Irwin et al.","25519","1970","1","28","South America","Brazil","Minas Gerais",NA,NA,NA,"V0433410F","V0433410F_01 V0433410F_02",NA,NA,NA,NA,NA,NA,"25519",NA,NA,NA,"Monocotyledoneae",NA,NA
"12","2019-11-01 15:15:26-03","UnB","UB","2664","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb. Rodr.","Pabst, GFJ","Irwin, HS; Onishi, E; Fonsêca, SF; Souza, R","25519","1970","01","28","Southern America","Brasil","Minas Gerais","Ca. 25km NE de Patrocínio",NA,"Terrestre e ereto.; Erva 0,5m. Flor branco-esverdeado; Campo. Solo: Solo barro vermelho.","UB0018801","UB0018801",NA,NA,NA,NA,NA,NA,NA,"1971",NA,NA,NA,NA,NA
"13","2014-10-09 13:58:28-03","UHH","HBG","501100","S","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Rodrig.",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"ex Herb. Kränzlin 23 Herbarium Hamburgense evacuated and inaccessible 1943-1992; HBG loan #1996 to UGDA (Gdansk Univ.); finished 23.03.2011","HBG501100","HBG501100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:11:54-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.",NA,"Glaziou, AFM","ser IIIs.n.*",NA,NA,NA,"Southern America","Brazil",NA,"in brasilia australi loco haud indicato.",NA,NA,NA,"P03P4N0005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:11:54-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.",NA,"Regnell, AF","1180",NA,NA,NA,"Southern America","Brazil","Minas Gerais","habitat in prov. Minas Geraes prope Caldas secus Rio das Antas.",NA,NA,NA,"P03P4N0005","Caldas","-46.3861","-21.9236","25710","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 10:13:24-03","IBt","SP","28905","S","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barb.Rodr.","Hoehne, FC","Regnell, A","III-1180",NA,NA,NA,NA,"Brasil","Minas Gerais","rio das Antas",NA,NA,"SP002131","SP002131","Caldas","-46.386100769043","-21.9235992431641","25710","auto","Isotype",NA,"1935",NA,NA,NA,NA,NA
"17","2019-12-05 14:59:56-03","GH","HU-HERB","GH 01947922","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hydrophila","Habenaria hydrophila","Barbosa Rodrigues",NA,"H. S. Irwin, E. Onishi, S. F. da Fonseca, R. Souza, R. Reis dos Santos & J. F. Ramos","25519","1970","1","28","South America","Brazil",NA,"ca. 25 km N. E. of Patrocínio.","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25519",NA,NA,NA,NA,NA,"undetermined"
