"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","phylum","continentOcean","imagecode","identifiedBy","class","order","typeStatus","relatedCatalogItem","yearIdentified"
"1","2020-06-29 11:29:40-03","UFRJ","RFA","28189","PreservedSpecimen","Plantae","Bromeliaceae","Lymania","brachycaulis","Lymania brachycaulis","(E.Morren ex Baker) L.F.Sousa","L.O.F. Souza; T. Wendt; A.P.G. Faria; G.K. Brown; J.L. Paixão","442","2003","03","28","Brasil","Bahia","Camamu","Estrada para Travessão ca. km 20","-39.061944","-14.018056","39º3'43''W","14º1'5''S","Erva epífita, ciófila, folhas cartáceas discolores verdes com face abaxial vinosa e adaxial verde, infrutescência com frutos verdes","RFA52207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:40-03","UFRJ","RFA","28732","PreservedSpecimen","Plantae","Bromeliaceae","Lymania","brachycaulis","Lymania brachycaulis","(E.Morren ex Baker) L.F.Sousa","L.O.F. Souza","443","2003","03","28","Brasil","Bahia","Camamu","Estrada para Travessão","-39.1039009094238","-13.9447002410889",NA,NA,"Epífita, ciófila, folhas cartáceas roxas, inflorescência inserida na roseta, flores vermelhas com pétalas alvas","RFA52208","33730","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:44:51-03","EAO","IAN","9587","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","brachycaulis","Aechmea brachycaulis","Baker","Strauss","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN009587",NA,NA,"Monocotiledônea","Southern America","IAN009587_f",NA,NA,NA,NA,NA,NA
"4","2011-03-02 13:20:00-03","MO","MOBOT","2752758","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","brachycaulis","Aechmea brachycaulis","Baker","Heinrich C. Strauss","Strauss s.n.","1911","2","11","Brazil","Bahia",NA,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-04 11:04:09-03","UFRB","HURB","25954","PreservedSpecimen","Plantae","Bromeliaceae","Lymania","brachycaulis","Lymania brachycaulis","(E.Morren ex Baker) L.F.Sousa","Souza, E.H.","253","2019","11","01","Brasil","Bahia","Camamu","BA-652; vicinal da BA-001, entrada a direita sentido Itacaré","-39.129056","-13.958417","39º07'44,6W","13º57'30,3S","planta epífita, folhas verdes lustrosas, inflorescência vermelha com flores brancas e fruto carambolado.","HURB000025954",NA,NA,NA,NA,"HURB000025954","E.H.Souza",NA,NA,NA,NA,NA
"6","2019-10-07 09:20:36-03","UEFS","HUEFS","174854","PreservedSpecimen","Plantae","Bromeliaceae","Lymania","brachycaulis","Lymania brachycaulis","(E.Morren ex Baker) L.F.Sousa","Coelho, A.G.","69","2011","06","30","Brasil","Bahia","Igrapiúna","Michelin, Vila 5.","-39.203889","-13.820833","39W12'14''","13S49'15''",NA,"HUEFS0174854",NA,NA,"Angiospermae",NA,"HUEFS0174854",NA,"Lilianae","Poales",NA,NA,NA
"7","2019-09-04 19:11:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","brachycaulis","Aechmea brachycaulis",NA,"H. C. Strauss",NA,"1911","2","11","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Spermatophyta","South America",NA,NA,"Monocotyledoneae",NA,"Type [status unknown]",NA,NA
"8","2020-07-23 12:00:41-03","CEPLAC","CEPEC","6273","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","brachycaulis","Aechmea brachycaulis",NA,"T. S. dos Santos","1275","1979","04","04","Brasil","Bahia","IPIAÚ","Estrada a Ubatã.","-39.7338981628418","-14.1372003555298",NA,NA,NA,NA,"24789","auto",NA,NA,NA,"L. B. Smith",NA,NA,NA,"30/07/1985",NA
"9","2019-11-01 15:13:16-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","brachycaulis","Aechmea brachycaulis","Baker","Belém, RP; Magalhães, M","849","1965","04","25","Brasil","Bahia",NA,"Rodovia Ubaitaba - Lages. 8km de Ubaitaba",NA,NA,NA,NA,"Epífita. Frutos verdes","UB0003022",NA,NA,"Monocotyledonae","Southern America","UB0003022","Smith, LB",NA,NA,NA,NA,"1966"
"10","2017-09-11 16:27:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Aechmea","brachycaulis","Aechmea brachycaulis","Baker","?","s.n.",NA,NA,NA,"?",NA,NA,"Habitat verisimiliter in Brasilia, unde loco accuratiore ignoto a Makoy et Co. in Europam introducta",NA,NA,NA,NA,"(V. s. in herb. Leod.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
